lemma	pos	year_first_occ	borrowed
авиатакси	N	1985	True
авиатехник	N	1930	True
авиатор	N	1895	True
авиатрасса	N	1970	True
авиационно-космический	OTHER	1970	True
авиационный	OTHER	1900	True
авиация	N	1900	True
авидья	N	1885	True
авизент	N	1985	True
авизо	N	1885	True
авионика	N	1990	True
авитаминоз	N	1930	True
авиэйшн	N	1960	True
авось	N	1995	False
авось	OTHER	1725	N/A
авоська	N	1845	False
аврал	N	1825	True
авральный	OTHER	1850	True
аврора	N	1745	True
австралиец	N	1830	False
австралийка	N	1845	False
австриец	N	1755	False
австрический	OTHER	2000	True
австрияк	N	1850	False
авт	N	1815	True
авто	N	1885	True
автоагрегатный	OTHER	1965	True
автобаза	N	1925	True
автобан	N	1930	True
автобизнес	N	1995	True
автобиографический	OTHER	1825	True
автобиографичный	OTHER	1910	True
автобиография	N	1850	True
автобус	N	1900	True
автобусный	OTHER	1900	True
автовладелец	N	1960	True
автоген	N	1900	True
автогенный	OTHER	1900	True
автогигант	N	1945	True
автогол	N	2000	True
автогонки	N	1930	True
автогонщик	N	1960	True
автогражданский	OTHER	1995	True
автограф	N	1820	True
автодидакт	N	1900	True
автодизайн	N	1995	True
автодорога	N	1930	True
автодорожный	OTHER	1935	True
автозавод	N	1920	True
автозаводец	N	1945	True
автозаводский	OTHER	1985	True
автозаправочный	OTHER	1970	True
автоинспектор	N	1950	True
автоинспекция	N	1935	True
автокатастрофа	N	1955	True
автокей	N	1995	True
автокефалист	N	1920	True
автокефалия	N	1855	True
автокефальный	OTHER	1880	True
автоклав	N	1895	True
автоколонна	N	1925	True
автоконцерн	N	1970	True
автоконьяк	N	1915	True
автокосметика	N	1960	True
автокран	N	1945	True
автокредит	N	2000	True
автокросс	N	1970	True
автолавка	N	1935	True
автолюбитель	N	1945	True
автолюбительский	OTHER	1910	True
автомагазин	N	1960	True
автомагистраль	N	1930	True
автомагнитола	N	1980	True
автомарка	N	1995	True
автомастерская	N	1950	True
автомат	N	1780	True
автоматизация	N	1915	True
автоматизированно	OTHER	1965	True
автоматизированный	OTHER	1915	True
автоматизировать	V	1920	True
автоматизм	N	1860	True
автоматика	N	1915	True
автоматически	OTHER	1840	True
автоматический	OTHER	1845	True
автоматичный	OTHER	1855	True
автоматный	OTHER	1920	True
автоматчик	N	1925	True
автомашина	N	1915	True
автомеханик	N	1925	True
автомобилестроение	N	1930	True
автомобилестроительный	OTHER	1990	True
автомобилизация	N	1925	True
автомобилизм	N	1895	True
автомобилист	N	1895	True
автомобилистка	N	1900	True
автомобиль	N	1890	True
автомобильный	OTHER	1895	True
автомобильчик	N	1910	True
автомобильщик	N	1970	True
автомодельный	OTHER	1975	True
автомоечный	OTHER	1995	True
автомойка	N	1990	True
автоморфный	OTHER	1995	True
автономия	N	1845	True
автономность	N	1895	True
автономный	OTHER	1855	True
автоответчик	N	1965	True
автопарк	N	1935	True
автопаркинг	N	1995	True
автопаром	N	1970	True
автоперчатка	N	1990	True
автопилот	N	1925	True
автопоилка	N	1945	True
автопокрышка	N	1935	True
автопортрет	N	1895	True
автопредприятие	N	1970	True
автопрогресс	N	1985	True
автопроизводитель	N	1990	True
автопром	N	1975	True
автопутешественник	N	1995	True
автор	N	1710	True
авторадио	N	1920	True
авторегрессия	N	1995	True
авторемонтный	OTHER	1935	True
автореферат	N	1950	True
авторизация	N	1860	True
авторизованный	OTHER	1905	True
авторизовать	V	1905	True
авторитаризм	N	1880	True
авторитарный	OTHER	1880	True
авторитет	N	1750	True
авторитетнейший	OTHER	1895	True
авторитетность	N	1860	True
авторитетный	OTHER	1835	True
авторский	OTHER	1760	True
авторство	N	1765	True
авторучка	N	1930	True
авторша	N	1860	True
авторынок	N	1965	True
автосалон	N	1965	True
автосамосвал	N	1945	True
автосборочный	OTHER	1930	True
автосервис	N	1965	True
автоспорт	N	1965	True
автостадо	N	1960	True
автостанция	N	1920	True
автостоянка	N	1960	True
автострада	N	1925	True
автостроитель	N	1965	True
автосцепка	N	1920	True
автотонна	N	1980	True
автотранспорт	N	1915	True
автотранспортный	OTHER	1935	True
автотрансформатор	N	1920	True
автофирма	N	1995	True
автофургон	N	1935	True
автохимия	N	1995	True
автохозяйство	N	1955	True
автохтон	N	1840	True
автохтонный	OTHER	1950	True
автоцентр	N	1965	True
автоцистерна	N	1930	True
авточтиво	N	1995	True
автошкола	N	1915	True
автоэкзотика	N	1995	True
автоэлектрик	N	1960	True
ага	N	1675	N/A
ага	OTHER	1675	N/A
агава	N	1810	True
агама	N	1915	True
агар	N	1835	True
агар-агар	N	1925	True
агарянин	N	1760	False
агат	N	1725	True
агатовый	OTHER	1835	True
аггрегация	N	1865	True
агенс	N	1845	True
агент	N	1690	True
агентивно	OTHER	1995	True
агентивность	N	1970	True
агентивный	OTHER	1970	True
агентский	OTHER	1885	True
агентство	N	1855	True
агентура	N	1860	True
агентурный	OTHER	1820	True
агентша	N	1845	True
агератум	N	1900	True
агит	N	1915	True
агитатор	N	1825	True
агитационный	OTHER	1865	True
агитация	N	1855	True
агитбригада	N	1930	True
агитировать	V	1840	True
агитка	N	1915	True
агитлистовка	N	1915	True
агитотдел	N	1915	True
агитпоезд	N	1915	True
агитпром	N	1990	True
агитпроп	N	1915	True
агитпункт	N	1915	True
агломерировать	V	1995	True
агностик	N	1890	True
агностицизм	N	1890	True
агон	N	1905	True
агонизировать	V	1860	True
агония	N	1825	True
аграрий	N	1895	True
аграрник	N	1905	True
аграрный	OTHER	1855	True
аграф	N	1830	True
агрегат	N	1840	True
агрегатировать	V	1970	True
агрегатный	OTHER	1880	True
агрегатор	N	1915	True
агрегирование	N	1995	True
агрегированный	OTHER	1990	True
агрессивность	N	1885	True
агрессивный	OTHER	1855	True
агрессия	N	1905	True
агрессор	N	1930	True
агробиолог	N	1940	True
агробиология	N	1935	True
агроиндустрия	N	1995	True
агроклиматический	OTHER	1975	True
агрокультура	N	1905	True
агрокультурный	OTHER	1945	True
агромелиоративный	OTHER	1995	True
агрометеоролог	N	2000	True
агроном	N	1825	True
агрономический	OTHER	1825	True
агрономия	N	1820	True
агропромышленный	OTHER	1970	True
агростанция	N	1955	True
агротехник	N	1925	True
агротехника	N	1925	True
агротехнический	OTHER	1925	True
агрофак	N	1960	True
агрофирма	N	1990	True
агрохимик	N	1945	True
агрохимический	OTHER	1960	True
агрохимия	N	1945	True
агрошкола	N	1950	True
ад	N	1705	N/A
адажио	N	1780	True
адажио	OTHER	1820	True
адай	N	1765	False
адамеллит	N	1915	True
адаптационный	OTHER	1935	True
адаптация	N	1915	True
адаптер	N	1920	True
адаптивность	N	1995	True
адаптивный	OTHER	1865	True
адаптированность	N	1935	True
адаптированный	OTHER	1960	True
адаптировать	V	1935	True
адаптоген	N	1980	True
адвайта	N	1990	True
адвайтист	N	1990	True
адвент	N	1940	True
адвентист	N	1905	True
адвокат	N	1735	True
адвокатский	OTHER	1755	True
адвокатура	N	1850	True
адгезия	N	1960	True
аддитивный	OTHER	1945	True
адекват	N	1930	True
адекватно	OTHER	1885	True
адекватность	N	1900	True
адекватный	OTHER	1870	True
аденокарцинома	N	1995	True
аденома	N	1775	True
адепт	N	1805	True
аджарский	OTHER	1860	False
аджика	N	1955	True
адиабатный	OTHER	1970	True
адиантум	N	1990	True
адиантум	OTHER	1995	True
адинамия	N	1930	True
административно	OTHER	1840	True
административно-правовой	OTHER	1970	True
административно-территориальный	OTHER	1930	True
административно-управленческий	OTHER	1920	True
административный	OTHER	1820	True
администратор	N	1690	True
администраторша	N	1945	True
администрация	N	1715	True
администрирование	N	1910	True
администрировать	V	1840	True
адмирал	N	1675	True
адмиралтеец	N	1780	True
адмиралтейский	OTHER	1690	True
адмиралтейств-коллегия	N	1780	True
адмиралтейство	N	1690	True
адмиральский	OTHER	1690	True
адмиральство	N	1875	True
адов	N	1965	False
адов	OTHER	1725	N/A
адогматизм	N	1900	True
адреналин	N	1900	True
адрес	N	1770	True
адресант	N	1965	True
адресат	N	1875	True
адресация	N	1970	True
адресность	N	1990	True
адресный	OTHER	1825	True
адресовать	V	1690	True
адресоваться	V	1745	True
адресок	N	1880	True
адски	OTHER	1825	False
адский	OTHER	1710	N/A
адсорбент	N	1940	True
адсорбер	N	1955	True
адъюнкт	N	1735	True
адъют	N	1820	True
адъютант	N	1675	True
адъютантский	OTHER	1745	True
адъютантство	N	1825	True
адъютантура	N	2000	True
адъютор	N	1965	True
адыгейский	OTHER	1915	False
адье	OTHER	1835	True
адьютант	N	1690	True
адюльтер	N	1865	True
аж	OTHER	1835	False
ажиотаж	N	1795	True
ажиотажный	OTHER	1935	True
ажитация	N	1800	True
ажник	N	1920	False
ажур	N	1850	True
ажурный	OTHER	1840	True
аз	N	1710	N/A
аз	OTHER	1710	N/A
азадок	N	1900	False
азарт	N	1825	True
азартно	OTHER	1830	True
азартность	N	1850	True
азартный	OTHER	1770	True
азбука	N	1700	N/A
азбучный	OTHER	1745	N/A
азер	N	1915	False
азербайджанец	N	1910	False
азербайджанка	N	1930	False
азиат	N	1820	False
азиатизм	N	1830	True
азиатско-тихоокеанский	OTHER	1980	False
азиатчинка	N	1915	False
азимутальный	OTHER	1940	True
азият	N	1865	False
азот	N	1810	True
азотистый	OTHER	1845	True
азотный	OTHER	1845	True
азотсодержащий	OTHER	1865	True
азс	N	1990	False
азу	N	1845	False
азы	N	1675	N/A
аи	N	1760	False
аир	N	1845	False
аировидный	OTHER	1995	False
аист	N	1775	False
аисторичный	OTHER	2005	True
аиф	N	1985	False
ай	OTHER	1725	N/A
ай-ай-ай	OTHER	1780	False
айва	N	1810	False
айвовый	OTHER	1885	False
айда	OTHER	1845	False
айда	V	1845	False
айкидо	N	1985	True
айлант	N	1925	True
аймак	N	1840	True
аймачный	OTHER	1970	True
айн	N	1815	True
айс	N	1920	True
айсберг	N	1905	True
айтишник	N	2000	True
ак	N	1750	False
ака	N	1830	False
академгородок	N	1955	True
академизм	N	1875	True
академик	N	1730	True
академически	OTHER	1855	True
академический	OTHER	1715	True
академичный	OTHER	1890	True
академия	N	1690	True
академка	N	1925	True
акант	N	1890	True
акать	V	1835	False
акафист	N	1715	True
акация	N	1790	True
акб	N	1920	False
акваланг	N	1950	True
аквалангист	N	1950	True
аквапарк	N	1990	True
акварель	N	1825	True
акварелька	N	1880	True
акварельный	OTHER	1830	True
аквариум	N	1865	True
аквариумист	N	1955	True
аквариумный	OTHER	1920	True
акватинта	N	1850	True
акватория	N	1880	True
акведук	N	1775	True
аквилон	N	1785	True
акклиматизация	N	1850	True
акклиматизировать	V	1850	True
акклиматизироваться	V	1850	True
аккомодация	N	1855	True
аккомпанемент	N	1820	True
аккомпаниатор	N	1875	True
аккомпаниаторша	N	1905	True
аккомпанировать	V	1780	True
аккорд	N	1785	True
аккордеон	N	1920	True
аккредитационный	OTHER	1990	True
аккредитация	N	1975	True
аккредитив	N	1895	True
аккредитовать	V	1775	True
аккреционный	OTHER	1990	True
аккрецировать	V	2000	True
аккрецирующий	OTHER	2000	True
аккреция	N	1975	True
аккумулирование	N	1930	True
аккумулировать	V	1915	True
аккумулятор	N	1885	True
аккумуляторный	OTHER	1865	True
аккурат	N	1850	True
аккурат	OTHER	1825	True
аккуратист	N	1920	True
аккуратнейший	OTHER	1805	True
аккуратненький	OTHER	1835	True
аккуратно	OTHER	1705	True
аккуратность	N	1765	True
аккуратный	OTHER	1780	True
акмеист	N	1905	True
акмеистический	OTHER	1905	True
акмеология	N	1995	True
аконит	N	1875	True
аконитин	N	1880	True
акр	N	1800	True
акриловый	OTHER	1845	True
акрихин	N	1935	True
акробат	N	1835	True
акробатика	N	1910	True
акробатический	OTHER	1765	True
акрополь	N	1815	True
акростих	N	1810	True
акс	N	1835	False
аксакал	N	1765	True
акселерат	N	1955	True
акселератор	N	1925	True
акселерация	N	1950	True
аксель	N	1690	True
аксельрод	N	1870	True
аксессуар	N	1835	True
аксессуарный	OTHER	1875	True
аксиальный	OTHER	1995	True
аксиома	N	1760	True
аксиоматизация	N	1965	True
аксиоматика	N	1915	True
аксиоматический	OTHER	1890	True
акт	N	1725	True
актант	N	1965	True
актер	N	1745	True
актеришка	N	1855	True
актерка	N	1835	True
актерски	OTHER	1880	True
актерский	OTHER	1765	True
актерство	N	1820	True
актерствовать	V	1785	True
актив	N	1860	True
активатор	N	1905	True
активация	N	1930	True
активизация	N	1905	True
активизировать	V	1920	True
активированный	OTHER	1905	True
активировать	V	1905	True
активист	N	1900	True
активистка	N	1920	True
активнейший	OTHER	1905	True
активно	OTHER	1825	True
активность	N	1875	True
активный	OTHER	1820	True
актинидия	N	1865	True
актиния	N	1865	True
актинолит	N	1945	True
актирование	N	1965	True
актировать	V	1930	True
актировка	N	1965	True
актовый	OTHER	1855	True
актриса	N	1755	True
актриска	N	1850	True
актуализация	N	1885	True
актуализировать	V	1905	True
актуальнейший	OTHER	1910	True
актуально	OTHER	1870	True
актуальность	N	1870	True
актуальный	OTHER	1865	True
актуарный	OTHER	1995	True
акула	N	1810	False
акулий	OTHER	1855	False
акуловщина	N	1990	False
акустика	N	1725	True
акустический	OTHER	1845	True
акушер	N	1765	True
акушерка	N	1845	True
акушерский	OTHER	1775	True
акушерство	N	1780	True
акцент	N	1730	True
акцентирование	N	1925	True
акцентировать	V	1855	True
акцентироваться	V	1920	True
акцентуация	N	1915	True
акцепт	N	1965	True
акцептор	N	1960	True
акцепторный	OTHER	1960	True
акцессорный	OTHER	1915	True
акциз	N	1780	True
акцизный	N	1780	True
акцизный	OTHER	1725	True
акционер	N	1810	True
акционерный	OTHER	1830	True
акционирование	N	1920	True
акционировать	V	1910	True
акция	N	1690	True
акын	N	1925	True
алармист	N	1855	True
алармистский	OTHER	1905	True
алашординец	N	2005	False
албанец	N	1750	False
албантовый	OTHER	1915	True
алга	N	1930	False
алгебра	N	1745	True
алгебраический	OTHER	1740	True
алгол	N	1995	True
алгоритм	N	1950	True
алгоритмизация	N	1965	True
алгоритмический	OTHER	1965	True
але	N	1735	True
але	OTHER	1850	True
алеаторика	N	1990	True
алебарда	N	1690	True
алебардист	N	1865	True
алебастр	N	1745	True
алебастровый	OTHER	1745	True
алейкум	N	1840	True
александритовый	OTHER	1990	True
александро-невский	N	1690	N/A
аленький	OTHER	1785	False
алерт	N	1840	True
алеть	V	1785	False
алеф	N	1915	False
алиби	N	1865	True
алиготе	N	1925	True
ализариновый	OTHER	1845	True
аликвота	N	1995	True
алиментарный	OTHER	1945	True
алиментщик	N	1920	True
алименты	N	1905	True
алиссум	N	1990	True
алкалоид	N	1845	True
алкалоидоносный	OTHER	1960	True
алкать	V	1725	N/A
алкаш	N	1950	False
алкид	N	1820	True
алкин	N	1850	True
алкин	OTHER	1960	True
алкоголизация	N	1920	True
алкоголизм	N	1865	True
алкоголик	N	1865	True
алкоголичка	N	1890	True
алкоголь	N	1840	True
алкогольный	OTHER	1840	True
алкометр	N	1995	True
аллаверды	N	1860	True
аллантоин	N	1845	True
алле	N	1940	True
алле	OTHER	1820	True
аллегорически	OTHER	1780	True
аллегорический	OTHER	1710	True
аллегория	N	1745	True
аллегро	N	1780	True
аллегро	OTHER	1855	True
аллейка	N	1845	True
аллель	N	1945	True
аллерген	N	1930	True
аллергенный	OTHER	1995	True
аллергик	N	1960	True
аллергический	OTHER	1925	True
аллергия	N	1935	True
аллерголог	N	1960	True
аллея	N	1750	True
аллигатор	N	1835	True
аллилуйщик	N	1925	False
аллилуйщина	N	1970	False
аллилуйя	N	1855	False
аллилуйя	OTHER	1725	N/A
аллитерация	N	1850	True
аллопат	N	1835	True
аллювиальный	OTHER	1860	True
аллюзия	N	1785	True
аллюминий	N	1860	True
аллюр	N	1830	True
алма-атинский	OTHER	1925	False
алмаатинец	N	1965	False
алмаз	N	1690	N/A
алмазик	N	1835	False
алмазный	OTHER	1690	N/A
алмазовец	N	1995	False
алмазодобытчик	N	1960	False
алмазоносный	OTHER	1935	False
ало	OTHER	1825	False
алогизм	N	1900	True
алогичность	N	1905	True
алогичный	OTHER	1905	True
алой	N	1745	N/A
алопеция	N	1995	True
алость	N	1785	False
алоэ	N	1840	True
алтаец	N	1875	False
алтайский	OTHER	1750	False
алтарный	OTHER	1830	False
алтарь	N	1725	N/A
алфавит	N	1705	True
алфавитный	OTHER	1715	True
алхимик	N	1785	True
алхимия	N	1725	True
алчно	OTHER	1770	False
алчность	N	1745	N/A
алчный	OTHER	1745	N/A
алый	OTHER	1730	N/A
алыча	N	1865	False
алычовый	OTHER	1960	False
альбатрос	N	1815	True
альбинос	N	1805	True
альбит	N	1930	True
альбо	N	1855	True
альбом	N	1815	True
альбомный	OTHER	1825	True
альбомчик	N	1840	True
альбумин	N	1845	True
альвеола	N	1915	True
альгиновый	OTHER	1960	True
альковный	OTHER	1885	False
альма	N	1815	True
альманах	N	1815	True
альморавидский	OTHER	1915	True
альпеншток	N	1920	True
альпийский	OTHER	1750	True
альпинарий	N	1980	True
альпинизм	N	1890	True
альпинист	N	1890	True
альпинистка	N	1905	True
альпинистский	OTHER	1915	True
альпинотипный	OTHER	1980	True
альт	N	1745	True
альтернатива	N	1855	True
альтернативный	OTHER	1855	True
альтиметр	N	1915	True
альтист	N	1885	True
альтовый	OTHER	1855	True
альтруизм	N	1855	True
альтруист	N	1875	True
альтруистический	OTHER	1865	True
альфа	N	1785	False
альфа	OTHER	1995	False
альфа-частица	N	1920	True
альфаферон	N	1995	True
альцгеймер	N	1890	True
алюминщик	N	1995	True
аляпистый	OTHER	1990	False
аляповатость	N	1840	False
аляповатый	OTHER	1835	False
амазонка	N	1745	True
амальгама	N	1785	True
амарант	N	1920	True
амб	N	1825	False
амба	N	1975	False
амба	OTHER	1845	False
амбал	N	1835	False
амбар	N	1740	N/A
амбарный	OTHER	1850	False
амбивалентный	OTHER	1920	True
амбициозность	N	1855	True
амбициозный	OTHER	1840	True
амбиция	N	1760	True
амбразура	N	1745	True
амброзия	N	1760	True
амбулатория	N	1885	True
амбулаторный	OTHER	1885	True
амвон	N	1745	N/A
амеба	N	1880	True
амебный	OTHER	1955	True
американец	N	1750	False
американизировать	V	1890	True
американизироваться	V	1895	True
американизм	N	1855	True
американка	N	1845	False
американо	OTHER	1895	True
америкашка	N	1970	False
америкос	N	1990	False
аметист	N	1755	True
аметистовый	OTHER	1845	True
ами	N	1750	True
амидинный	OTHER	1940	True
амикошонство	N	1885	True
амилаза	N	1905	True
амин	N	1830	True
амин	OTHER	1875	True
аминокислота	N	1880	True
аминокислотный	OTHER	1905	True
аминонейраминогликоль	N	1995	True
аминоспирт	N	1960	True
аминь	N	1750	False
аминь	OTHER	1700	N/A
амиотрофический	OTHER	1920	True
аммиак	N	1845	True
аммоний	N	1840	True
аммонийный	OTHER	1845	True
аммонит	N	1835	True
аммонов	N	1765	True
аммуниция	N	1690	True
амнезия	N	1890	True
амниотический	OTHER	1990	True
амнистированный	N	1860	True
амнистировать	V	1880	True
амнистия	N	1715	True
амок	N	1915	True
аморализм	N	1900	True
аморально	OTHER	1900	True
аморальность	N	1905	True
аморальный	OTHER	1785	True
амортизатор	N	1905	True
амортизационный	OTHER	1920	True
амортизация	N	1885	True
амортизировать	V	1915	True
аморфность	N	1905	True
аморфный	OTHER	1845	True
ампельный	OTHER	1980	True
ампер	N	1835	True
амперметр	N	1900	True
ампир	N	1880	True
ампирный	OTHER	1905	True
амплитуда	N	1815	True
амплитудный	OTHER	1935	True
амплификация	N	1820	True
амплифицировать	V	1920	True
амплуа	N	1800	True
ампула	N	1890	True
ампутация	N	1825	True
ампутированный	OTHER	1885	True
ампутировать	V	1800	True
амулет	N	1845	True
амуниция	N	1675	True
амур	N	1700	True
амурничать	V	1850	True
амурный	OTHER	1700	True
амурский	OTHER	1755	True
амфетамин	N	1960	True
амфибия	N	1815	True
амфибол	N	1960	True
амфиболия	N	1995	True
амфибрахий	N	1860	True
амфитеатр	N	1745	True
амфитрион	N	1785	True
амфора	N	1840	True
амфотерный	OTHER	1880	True
ан	OTHER	1745	N/A
ана	N	1765	False
анабазис	N	1760	True
анабиоз	N	1905	True
анаболический	OTHER	1960	True
анаграмма	N	1840	True
анаконда	N	1915	True
анакреонтический	OTHER	1755	True
анализ	N	1820	True
анализатор	N	1855	True
анализировать	V	1820	True
аналитик	N	1815	True
аналитика	N	1830	True
аналитически	OTHER	1830	True
аналитический	OTHER	1785	True
аналог	N	1845	True
аналогично	OTHER	1845	True
аналогичный	OTHER	1835	True
аналогия	N	1775	True
аналоговый	OTHER	1960	True
аналой	N	1825	False
анальгезия	N	1880	True
анальгетик	N	1955	True
анальгин	N	1950	True
анальный	OTHER	1880	True
анамнез	N	1870	True
ананас	N	1745	True
ананасный	OTHER	1800	True
ананда	N	1905	True
анапест	N	1730	True
анапестический	OTHER	1730	True
анархизм	N	1855	True
анархист	N	1780	True
анархиствующий	OTHER	1920	True
анархистка	N	1900	True
анархически	OTHER	1895	True
анархический	OTHER	1830	True
анархия	N	1770	True
анатолиец	N	1915	False
анатом	N	1835	True
анатомирование	N	1790	True
анатомический	OTHER	1740	True
анатомия	N	1715	True
анафема	N	1710	N/A
анахорет	N	1780	True
анахронизм	N	1805	True
анахронический	OTHER	1925	True
анаша	N	1850	False
анаэроб	N	1925	True
анаэробный	OTHER	1895	True
ангажемент	N	1835	True
ангажированность	N	1950	True
ангажированный	OTHER	1980	True
ангажировать	V	1800	True
ангар	N	1755	True
ангарский	N	1990	True
ангарский	OTHER	1755	True
ангел	N	1700	N/A
ангелически	OTHER	1990	False
ангелок	N	1840	False
ангелология	N	1905	True
ангелочек	N	1835	False
ангельски	OTHER	1755	False
ангельский	OTHER	1720	N/A
ангерный	OTHER	2000	False
ангидрид	N	1845	True
ангина	N	1845	True
ангинка	N	1980	True
англизировать	V	1825	True
английскость	N	1995	False
англиканин	N	1900	False
англиканский	OTHER	1785	False
англичанин	N	1690	N/A
англичанка	N	1785	False
англо-американец	N	1845	False
англоговорящий	N	1895	False
англоговорящий	OTHER	1990	False
англосакс	N	1860	False
англосаксонский	OTHER	1800	False
англоязычный	OTHER	1960	False
андеграунд	N	1980	True
андерграунд	N	1920	True
андрадит	N	1960	True
андре	N	1785	True
андроген	N	1960	True
андрогенетический	OTHER	2000	True
аневризма	N	1820	True
анекдот	N	1750	True
анекдотец	N	1805	True
анекдотик	N	1825	True
анекдотист	N	1825	True
анекдотически	OTHER	1865	True
анекдотический	OTHER	1825	True
анемический	OTHER	1865	True
анемичность	N	1900	True
анемичный	OTHER	1865	True
анемия	N	1855	True
анемона	N	1845	True
анемонин	N	1845	True
анестезиолог	N	1955	True
анестезирующий	OTHER	1870	True
анестезистка	N	1990	True
анестезия	N	1865	True
анестетик	N	1925	True
анестизированный	OTHER	1960	True
анизотропия	N	1875	True
анизотропный	OTHER	1875	True
анилин	N	1845	True
анилиновый	OTHER	1855	True
анималист	N	1885	True
аниматор	N	1970	True
анимационный	OTHER	1990	True
анимация	N	1990	True
анимизм	N	1890	True
анимэ	N	2000	True
анин	N	1950	False
анин	OTHER	1825	False
анионный	OTHER	1940	True
анисовый	OTHER	1740	True
анкета	N	1885	True
анкетирование	N	1925	True
анкетировать	V	1935	True
анкетка	N	1915	True
анкетный	OTHER	1905	True
анкин	N	1955	False
анкин	OTHER	1950	False
анклав	N	1890	True
анналы	N	1820	True
аннексировать	V	1900	True
аннигиляция	N	1935	True
аннотация	N	1730	True
аннотирование	N	1975	True
аннотировать	V	1820	True
аннулирование	N	1865	True
аннулировать	V	1890	True
ановлар	N	1960	True
анод	N	1855	True
анодировать	V	1950	True
анодный	OTHER	1920	True
аномалия	N	1775	True
аномально	OTHER	1885	True
аномальность	N	1960	True
аномальный	OTHER	1845	True
аноним	N	1760	True
анонимка	N	1905	True
анонимно	OTHER	1840	True
анонимность	N	1905	True
анонимный	OTHER	1730	True
анонимщик	N	1960	True
анонс	N	1880	True
анонсировать	V	1780	True
анорексия	N	1980	True
анортит	N	1930	True
анпиловец	N	1990	False
ансамблевый	OTHER	1930	True
